date,username,tweet
2022-10-24 13:15:03+00:00,PRDepok,"Cek Penerima BSU 2022 Tahap 7 yang Cair lewat Kantor Pos, Login ke Link Ini dan Cairkan BLT Subsidi Gaji https://t.co/5kp0MikTLX"
2022-10-24 13:15:03+00:00,kompascom,"Puluhan warga Desa Dawuhan Wetan, Lumajang, protes karena dianulir sebagai penerima BLT BBM dalam verifikasi oleh p… https://t.co/imGxABiJos"
2022-10-24 13:14:12+00:00,impossible038,@riesaenwan213 🤣🤣🤣 BLT belom turun ...
2022-10-24 13:09:02+00:00,jodskiiy,@aldialfianasw @eriindrawan17_ @puturassup @ttruccy @rahmawatidevi_ @farelardanxxz Nyiar blt
2022-10-24 12:57:25+00:00,DaengKayo89,"@aguscosmo @TeddGus Kebohongan menteri dari profesional, tidak ngutang, tidak ada BLT, tdk ada Copras capres?"
2022-10-24 12:51:08+00:00,d_onenews_com,"Realisasikan BLT BBM, Pemkot Gelontorkan 8,9 M untuk Pengemudi Angkot https://t.co/68KQu8sDyL"
2022-10-24 12:50:05+00:00,Whizkaz_22,@hartatikasnan Langkah pemerintah sangat tepat dg memberikan BLT dan BSU
2022-10-24 12:47:06+00:00,Quvvatt,@Dadungkawuk41 @itsazhar29 @Fido_id_ @pembencioknum @RjBrana @yusuf_dumdum Junjungan lu yang gak jelas soal BLT 😅😅😅 https://t.co/fSInmIS1D3
2022-10-24 12:44:06+00:00,loksado_river,@detikcom @detik_jatim Padahal pak jokowi rajin blusukan bagi2 duit blt… ternyata ga nyampe pd yg bener2 susah?
2022-10-24 12:42:53+00:00,baliexpressnews,Mengapresiasi Penyaluran BLT BBM Tahap II https://t.co/mFTLkecuEW
2022-10-24 12:36:37+00:00,PRDepok,BPUM 2022 Jadi Cair? Cek Namamu di https://t.co/DQ9ZdZssNN untuk Dapatkan BLT UMKM Rp600.000 https://t.co/aoP6AYYwcb
2022-10-24 12:36:36+00:00,pikiran_rakyat,BPUM 2022 Jadi Cair? Cek Namamu di https://t.co/bve0OIWc9j untuk Dapatkan BLT UMKM Rp600.000 https://t.co/T6h7RXg9E9 https://t.co/fHdfcQftUa
